Year,Unemployment indicator (pp),Vacancy indicator (pp)
1929.25,0,0
1929.33333333333,0,0.04
1929.41666666667,0,0.07
1929.5,0,0.09
1929.58333333333,0,0.14
1929.66666666667,0,0.05
1929.75,0,0.06
1929.83333333333,0,0.16
1929.91666666667,0,0.44
1930,0,0.73
1930.08333333333,0.49,0.87
1930.16666666667,1.3,1
1930.25,2.13,1.02
1930.33333333333,2.51,1.04
1930.41666666667,2.84,1.08
1930.5,3.8,1.15
1930.58333333333,5.7,1.21
1930.66666666667,8,1.27
1930.75,10.24,1.29
1930.83333333333,12.4,1.22
1930.91666666667,14.27,0.97
1931,14.79,0.68
1931.08333333333,13.89,0.53
1931.16666666667,12.05,0.39
1931.25,10.68,0.37
1931.33333333333,9.75,0.35
1931.41666666667,9.16,0.37
1931.5,8.24,0.34
1931.58333333333,6.7,0.32
1931.66666666667,4.86,0.3
1931.75,3.18,0.33
1931.83333333333,2.1,0.31
1931.91666666667,3.04,0.3
1932,3.52,0.29
1932.08333333333,3.95,0.31
1932.16666666667,4.42,0.36
1932.25,5.63,0.41
1932.33333333333,7.03,0.43
1932.41666666667,8.48,0.41
1932.5,9.7,0.37
1932.58333333333,10.24,0.35
1932.66666666667,10.1,0.31
1932.75,9.47,0.22
1932.83333333333,8.44,0.21
1932.91666666667,7.3,0.21
1933,6.08,0.23
1933.08333333333,5.03,0.22
1933.16666666667,4.18,0.23
1933.25,3.14,0.19
1933.33333333333,1.86,0.11
1933.41666666667,0,0.01
1933.5,0,0
1933.58333333333,0,0
1933.66666666667,0,0.02
1933.75,0,0.03
1933.83333333333,0,0.05
1933.91666666667,0,0.05
1934,0,0.03
1934.08333333333,0,0.01
1934.16666666667,0,0
1934.25,0,0
1934.33333333333,0,0
1934.41666666667,0.24,0.01
1934.5,0.84,0.04
1934.58333333333,1.78,0.08
1934.66666666667,2.86,0.09
1934.75,3.64,0.09
1934.83333333333,3.98,0.08
1934.91666666667,3.69,0.06
1935,2.67,0.04
1935.08333333333,1.57,0.03
1935.16666666667,0.73,0.02
1935.25,0.6,0.01
1935.33333333333,0.61,0.01
1935.41666666667,0.43,0
1935.5,0,0
1935.58333333333,0,0
1935.66666666667,0,0
1935.75,0,0
1935.83333333333,0,0
1935.91666666667,0,0
1936,0,0
1936.08333333333,0,0
1936.16666666667,0,0
1936.25,0,0
1936.33333333333,0,0
1936.41666666667,0,0
1936.5,0,0
1936.58333333333,0,0
1936.66666666667,0,0
1936.75,0,0
1936.83333333333,0.04,0
1936.91666666667,0.04,0
1937,0,0
1937.08333333333,0,0.01
1937.16666666667,0,0.01
1937.25,0.05,0
1937.33333333333,0,0
1937.41666666667,0,0
1937.5,0,0.07
1937.58333333333,0,0.12
1937.66666666667,0.01,0.15
1937.75,0.27,0.18
1937.83333333333,0.83,0.28
1937.91666666667,1.76,0.42
1938,2.74,0.5
1938.08333333333,3.53,0.54
1938.16666666667,3.9,0.54
1938.25,4.17,0.57
1938.33333333333,4.41,0.59
1938.41666666667,4.59,0.61
1938.5,4.61,0.53
1938.58333333333,4.4,0.46
1938.66666666667,4.04,0.41
1938.75,3.47,0.37
1938.83333333333,2.49,0.24
1938.91666666667,1.11,0.09
1939,0.09,0
1939.08333333333,0.17,0.01
1939.16666666667,0.45,0
1939.25,0.48,0
1939.33333333333,0.42,0
1939.41666666667,0.25,0
1939.5,0,0
1939.58333333333,0,0
1939.66666666667,0,0
1939.75,0,0
1939.83333333333,0,0
1939.91666666667,0,0
1940,0,0
1940.08333333333,0,0
1940.16666666667,0,0.01
1940.25,0,0.04
1940.33333333333,0,0.07
1940.41666666667,0,0.06
1940.5,0,0.06
1940.58333333333,0,0.06
1940.66666666667,0,0.01
1940.75,0.07,0
1940.83333333333,0,0
1940.91666666667,0,0
1941,0,0
1941.08333333333,0,0
1941.16666666667,0,0
1941.25,0,0
1941.33333333333,0,0
1941.41666666667,0,0
1941.5,0,0
1941.58333333333,0,0
1941.66666666667,0,0
1941.75,0,0.03
1941.83333333333,0,0.05
1941.91666666667,0,0.04
1942,0,0
1942.08333333333,0,0
1942.16666666667,0,0
1942.25,0,0
1942.33333333333,0,0
1942.41666666667,0,0
1942.5,0,0
1942.58333333333,0,0
1942.66666666667,0,0
1942.75,0,0
1942.83333333333,0,0
1942.91666666667,0,0
1943,0,0
1943.08333333333,0,0
1943.16666666667,0,0
1943.25,0,0
1943.33333333333,0,0
1943.41666666667,0.06,0
1943.5,0.17,0
1943.58333333333,0.19,0
1943.66666666667,0.1,0
1943.75,0,0
1943.83333333333,0,0.04
1943.91666666667,0,0
1944,0,0
1944.08333333333,0,0
1944.16666666667,0,0
1944.25,0,0
1944.33333333333,0.08,0
1944.41666666667,0.14,0
1944.5,0.2,0.22
1944.58333333333,0.13,0.57
1944.66666666667,0.04,0.86
1944.75,0,0.48
1944.83333333333,0,0.04
1944.91666666667,0,0
1945,0.04,0
1945.08333333333,0.08,0
1945.16666666667,0.09,0.11
1945.25,0.08,0.18
1945.33333333333,0.06,0.24
1945.41666666667,0.18,0.25
1945.5,0.35,0.08
1945.58333333333,0.49,0.17
1945.66666666667,1.1,0.54
1945.75,1.67,1.19
1945.83333333333,2.3,1.55
1945.91666666667,2.45,1.72
1946,2.59,1.83
1946.08333333333,2.7,2.05
1946.16666666667,2.79,2.06
1946.25,2.77,2.12
1946.33333333333,2.89,2.21
1946.41666666667,2.74,2.22
1946.5,2.5,2.15
1946.58333333333,2.24,1.93
1946.66666666667,1.68,1.62
1946.75,1.35,1.15
1946.83333333333,0.89,0.91
1946.91666666667,0.91,0.87
1947,0.74,0.86
1947.08333333333,0.57,0.68
1947.16666666667,0.43,0.68
1947.25,0.62,0.76
1947.33333333333,0.71,0.87
1947.41666666667,0.86,0.97
1947.5,0.83,1.06
1947.58333333333,0.93,1.08
1947.66666666667,0.86,0.83
1947.75,0.59,0.5
1947.83333333333,0.32,0.33
1947.91666666667,0.2,0.35
1948,0,0.39
1948.08333333333,0,0.46
1948.16666666667,0,0.57
1948.25,0.18,0.64
1948.33333333333,0.08,0.67
1948.41666666667,0,0.67
1948.5,0,0.69
1948.58333333333,0.11,0.75
1948.66666666667,0.16,0.72
1948.75,0.2,0.79
1948.83333333333,0.16,0.89
1948.91666666667,0.23,0.97
1949,0.41,1.02
1949.08333333333,0.71,1.14
1949.16666666667,1.04,1.14
1949.25,1.4,1.19
1949.33333333333,1.86,1.19
1949.41666666667,2.27,1.25
1949.5,2.72,1.31
1949.58333333333,2.87,1.37
1949.66666666667,2.94,1.47
1949.75,3.34,1.49
1949.83333333333,3.22,1.46
1949.91666666667,3.15,1.25
1950,2.51,1.01
1950.08333333333,2.19,0.68
1950.16666666667,1.77,0.44
1950.25,1.15,0.25
1950.33333333333,0.41,0.16
1950.41666666667,0,0.01
1950.5,0,0
1950.58333333333,0,0
1950.66666666667,0,0
1950.75,0,0
1950.83333333333,0,0
1950.91666666667,0,0
1951,0,0
1951.08333333333,0,0
1951.16666666667,0,0
1951.25,0,0
1951.33333333333,0,0
1951.41666666667,0,0.07
1951.5,0.01,0.14
1951.58333333333,0.06,0.21
1951.66666666667,0.09,0.16
1951.75,0.22,0.12
1951.83333333333,0.35,0.11
1951.91666666667,0.28,0.16
1952,0.16,0.12
1952.08333333333,0.03,0.05
1952.16666666667,0,0
1952.25,0,0.04
1952.33333333333,0,0.13
1952.41666666667,0.03,0.25
1952.5,0.13,0.41
1952.58333333333,0.25,0.46
1952.66666666667,0.27,0.29
1952.75,0.19,0.05
1952.83333333333,0,0
1952.91666666667,0,0.04
1953,0,0.04
1953.08333333333,0,0.05
1953.16666666667,0,0
1953.25,0,0.01
1953.33333333333,0,0.09
1953.41666666667,0,0.29
1953.5,0,0.49
1953.58333333333,0.03,0.71
1953.66666666667,0.15,0.86
1953.75,0.32,1.02
1953.83333333333,0.61,1.26
1953.91666666667,1.14,1.61
1954,1.72,1.84
1954.08333333333,2.28,2.01
1954.16666666667,2.67,2.06
1954.25,3,2.14
1954.33333333333,3.23,2.13
1954.41666666667,3.22,1.97
1954.5,3.19,1.79
1954.58333333333,3.2,1.59
1954.66666666667,3.25,1.48
1954.75,3.07,1.34
1954.83333333333,2.54,1.05
1954.91666666667,1.66,0.63
1955,0.82,0.27
1955.08333333333,0.03,0.02
1955.16666666667,0,0
1955.25,0,0
1955.33333333333,0,0
1955.41666666667,0,0
1955.5,0,0
1955.58333333333,0,0
1955.66666666667,0,0
1955.75,0.09,0
1955.83333333333,0.07,0
1955.91666666667,0.1,0
1956,0,0
1956.08333333333,0,0
1956.16666666667,0.01,0
1956.25,0,0.08
1956.33333333333,0.12,0.15
1956.41666666667,0.17,0.14
1956.5,0.31,0.19
1956.58333333333,0.23,0.26
1956.66666666667,0.1,0.32
1956.75,0,0.28
1956.83333333333,0.08,0.26
1956.91666666667,0.16,0.27
1957,0.27,0.25
1957.08333333333,0.15,0.29
1957.16666666667,0,0.31
1957.25,0,0.38
1957.33333333333,0.05,0.38
1957.41666666667,0.22,0.46
1957.5,0.3,0.41
1957.58333333333,0.32,0.44
1957.66666666667,0.36,0.54
1957.75,0.48,0.75
1957.83333333333,0.82,0.93
1957.91666666667,1.08,1.11
1958,1.5,1.18
1958.08333333333,1.92,1.23
1958.16666666667,2.43,1.3
1958.25,2.98,1.26
1958.33333333333,3.26,1.25
1958.41666666667,3.3,1.16
1958.5,3.24,1.09
1958.58333333333,3.22,0.93
1958.66666666667,3.1,0.83
1958.75,2.73,0.61
1958.83333333333,1.99,0.38
1958.91666666667,1.43,0.14
1959,0.76,0
1959.08333333333,0.23,0
1959.16666666667,0,0
1959.25,0,0
1959.33333333333,0,0
1959.41666666667,0,0
1959.5,0,0
1959.58333333333,0.05,0.01
1959.66666666667,0.21,0.08
1959.75,0.39,0.17
1959.83333333333,0.59,0.18
1959.91666666667,0.51,0.22
