Year,Smooth unemployment rate (%),Smooth vacancy rate (%)
1961,6.44546126844259,2.27666666666667
1961.08333333333,6.6836360109072,2.22666666666667
1961.16666666667,6.78537577220135,2.22666666666667
1961.25,6.89635007014367,2.23333333333333
1961.33333333333,6.97621733681855,2.28333333333333
1961.41666666667,6.98561758958136,2.32666666666667
1961.5,6.9933055540596,2.38666666666667
1961.58333333333,6.83885377343701,2.44666666666667
1961.66666666667,6.76126427370332,2.52
1961.75,6.59485014702803,2.61333333333333
1961.83333333333,6.41651659340021,2.70666666666667
1961.91666666667,6.18359333203293,2.77333333333333
1962,5.95927347219085,2.84
1962.08333333333,5.7575880968222,2.86
1962.16666666667,5.62689099324645,2.88666666666667
1962.25,5.54143289434696,2.87
1962.33333333333,5.53396454525552,2.9
1962.41666666667,5.49493281874183,2.9
1962.5,5.453049751166,2.9
1962.58333333333,5.51243440899842,2.84333333333333
1962.66666666667,5.55092683882156,2.8
1962.75,5.52770320696835,2.74333333333333
1962.83333333333,5.53580195360188,2.71333333333333
1962.91666666667,5.51822823970401,2.7
1963,5.63944359497814,2.71333333333333
1963.08333333333,5.72915916360056,2.72666666666667
1963.16666666667,5.79152210602374,2.75
1963.25,5.7680196562027,2.74333333333333
1963.33333333333,5.7425443384176,2.71666666666667
1963.41666666667,5.69294711267318,2.68666666666667
1963.5,5.68430832351371,2.69666666666667
1963.58333333333,5.52814997118914,2.71666666666667
1963.66666666667,5.50594967462213,2.72333333333333
1963.75,5.46799735642163,2.73666666666667
1963.83333333333,5.57794161570408,2.74333333333333
1963.91666666667,5.58480936116769,2.80333333333333
1964,5.60225229182114,2.83333333333333
1964.08333333333,5.49484991855723,2.86333333333333
1964.16666666667,5.47013682705394,2.86
1964.25,5.39638760959184,2.89333333333333
1964.33333333333,5.30259478643553,2.94333333333333
1964.41666666667,5.23261218139774,3.01666666666667
1964.5,5.09759162762075,3.08333333333333
1964.58333333333,5.05437641788477,3.13
1964.66666666667,5.00185733381034,3.15333333333333
1964.75,5.04874835274869,3.14666666666667
1964.83333333333,4.99762538605667,3.21
1964.91666666667,4.96592620082415,3.25333333333333
1965,4.89013986172172,3.31
1965.08333333333,4.95843975872293,3.36
1965.16666666667,4.88404009896194,3.42666666666667
1965.25,4.88000008445585,3.49333333333333
1965.33333333333,4.73283837019943,3.56
1965.41666666667,4.66789527764832,3.63
1965.5,4.52530124215181,3.68666666666667
1965.58333333333,4.44269464207423,3.74333333333333
1965.66666666667,4.36435378469642,3.83333333333333
1965.75,4.29246523392006,3.96333333333333
1965.83333333333,4.20828476283202,4.14
1965.91666666667,4.1148399782751,4.29666666666667
1966,4.03964198547885,4.42333333333333
1966.08333333333,3.9242599858214,4.49666666666667
1966.16666666667,3.86064650556456,4.63
1966.25,3.78718172061039,4.68666666666667
1966.33333333333,3.83642239012464,4.72
1966.41666666667,3.82012027174313,4.67666666666667
1966.5,3.83467084915436,4.7
1966.58333333333,3.80248810141068,4.68666666666667
1966.66666666667,3.76325033875531,4.63333333333333
1966.75,3.721437905108,4.58
1966.83333333333,3.65551612178527,4.54333333333333
1966.91666666667,3.69573768335853,4.51666666666667
1967,3.762650246381,4.50333333333333
1967.08333333333,3.82721552354149,4.48333333333333
1967.16666666667,3.82236476450882,4.44666666666667
1967.25,3.7883509632378,4.40333333333333
1967.33333333333,3.79026147964133,4.36
1967.41666666667,3.819313497524,4.34333333333333
1967.5,3.82925168923161,4.29
1967.58333333333,3.82074841388743,4.28666666666667
1967.66666666667,3.79719292942189,4.27333333333333
1967.75,3.87019790510907,4.31333333333333
1967.83333333333,3.91404253149222,4.30666666666667
1967.91666666667,3.92856140086256,4.32666666666667
1968,3.82533628477144,4.37
1968.08333333333,3.79698856851376,4.39333333333333
1968.16666666667,3.74077810244647,4.44
1968.25,3.65787195820384,4.46666666666667
1968.33333333333,3.53752542774341,4.51666666666667
1968.41666666667,3.54984255934512,4.53
1968.5,3.61306164109005,4.56
1968.58333333333,3.62543344641196,4.62666666666667
1968.66666666667,3.52302530716386,4.73333333333333
1968.75,3.44195751920619,4.87666666666667
1968.83333333333,3.41377109413963,4.98333333333333
1968.91666666667,3.40470732001281,5.02333333333333
1969,3.40815032579751,5.05333333333333
1969.08333333333,3.38700372708679,5.07666666666667
1969.16666666667,3.38957859464632,5.14666666666667
1969.25,3.39542990707412,5.16
1969.33333333333,3.40268271911264,5.19
1969.41666666667,3.43701087022699,5.13333333333333
1969.5,3.47463960633156,5.05
1969.58333333333,3.5197590540952,4.92666666666667
1969.66666666667,3.60311147039186,4.97
1969.75,3.66746496496575,4.99666666666667
1969.83333333333,3.66326864538614,5.02333333333333
1969.91666666667,3.59446102783559,4.89333333333333
1970,3.64885553416347,4.72
1970.08333333333,3.8803577616369,4.56666666666667
1970.16666666667,4.17132206001713,4.39
1970.25,4.39973275952138,4.24333333333333
1970.33333333333,4.5824149518609,4.03333333333333
1970.41666666667,4.75886002542633,3.88333333333333
1970.5,4.90763738480249,3.73
1970.58333333333,5.03558840239138,3.64333333333333
1970.66666666667,5.18097144101447,3.57
1970.75,5.33992661102778,3.45666666666667
1970.83333333333,5.58238096752437,3.35
1970.91666666667,5.81406057128794,3.25666666666667
1971,5.95850717058403,3.20666666666667
1971.08333333333,5.95921513002228,3.19666666666667
1971.16666666667,5.92601674774751,3.18666666666667
1971.25,5.91302884305181,3.21333333333333
1971.33333333333,5.93751338595657,3.22
1971.41666666667,5.91926822033544,3.27333333333333
1971.5,5.94010648057162,3.31
1971.58333333333,5.98185656724676,3.34
1971.66666666667,5.99460212308594,3.31
1971.75,5.95031591097224,3.31666666666667
1971.83333333333,5.94228190250115,3.33333333333333
1971.91666666667,5.96517306218983,3.37666666666667
1972,5.96534461834355,3.45666666666667
1972.08333333333,5.86154825619692,3.54333333333333
1972.16666666667,5.79406260082608,3.63666666666667
1972.25,5.75668344220065,3.69
1972.33333333333,5.73737816146307,3.74
1972.41666666667,5.68451728145779,3.78333333333333
1972.5,5.65533636484798,3.84
1972.58333333333,5.64652168631135,3.92
1972.66666666667,5.60996579652659,4.00666666666667
1972.75,5.58801315703871,4.13
1972.83333333333,5.45815631842464,4.23333333333333
1972.91666666667,5.33058407238108,4.43666666666667
1973,5.12149505727699,4.62666666666667
1973.08333333333,5.04961052568842,4.77666666666667
1973.16666666667,4.97620726239531,4.81333333333333
1973.25,4.99766214139555,4.77
1973.33333333333,4.94001260730559,4.76333333333333
1973.41666666667,4.91554961292943,4.75
1973.5,4.84734085669828,4.79333333333333
1973.58333333333,4.82876417425229,4.78
1973.66666666667,4.81869808598583,4.75
1973.75,4.74979113470124,4.71333333333333
1973.83333333333,4.76189795278663,4.69666666666667
1973.91666666667,4.79419400453162,4.62666666666667
1974,4.9589969837029,4.53666666666667
1974.08333333333,5.06747927964257,4.42333333333333
1974.16666666667,5.11019476690363,4.38666666666667
1974.25,5.09906463089797,4.40333333333333
1974.33333333333,5.08751384013713,4.43666666666667
1974.41666666667,5.18619586322092,4.42
1974.5,5.33014183233387,4.29666666666667
1974.58333333333,5.43631183863525,4.16666666666667
1974.66666666667,5.60813542505056,4.01666666666667
1974.75,5.76781560897564,3.83333333333333
1974.83333333333,6.15568463991437,3.58666666666667
1974.91666666667,6.58028566263339,3.31
1975,7.27523782173661,3.06333333333333
1975.08333333333,7.77081789976313,2.89
1975.16666666667,8.24111727770882,2.78
1975.25,8.48636340445241,2.73
1975.33333333333,8.77863562922832,2.69333333333333
1975.41666666667,8.85233425356059,2.75333333333333
1975.5,8.80352412329788,2.82666666666667
1975.58333333333,8.61591448453046,2.89333333333333
1975.66666666667,8.49133178897947,2.92
1975.75,8.4024835241234,2.93333333333333
1975.83333333333,8.35247143272818,2.99666666666667
1975.91666666667,8.28312421499374,3.03333333333333
1976,8.136047866148,3.08666666666667
1976.08333333333,7.95012962568022,3.16
1976.16666666667,7.74704082003478,3.24
1976.25,7.65358499490962,3.29
1976.33333333333,7.53587215269392,3.31
1976.41666666667,7.55016865813224,3.32666666666667
1976.5,7.58327387086882,3.34
1976.58333333333,7.72082812783945,3.32666666666667
1976.66666666667,7.72324130249562,3.30333333333333
1976.75,7.69932518203015,3.31
1976.83333333333,7.72062110396613,3.33333333333333
1976.91666666667,7.75631244161276,3.41333333333333
1977,7.69159776536346,3.51666666666667
1977.08333333333,7.6170789522955,3.59666666666667
1977.16666666667,7.51602519706155,3.66
1977.25,7.41262248780188,3.71666666666667
1977.33333333333,7.2102602680137,3.81
1977.41666666667,7.12756508691108,3.87666666666667
1977.5,7.03595161053686,3.95
1977.58333333333,7.02417641694906,4.01666666666667
1977.66666666667,6.88712089944625,4.07333333333333
1977.75,6.84428348227217,4.15333333333333
1977.83333333333,6.77987874223156,4.24666666666667
1977.91666666667,6.63543436393593,4.38666666666667
1978,6.52120321601017,4.47333333333333
1978.08333333333,6.35106550770494,4.53666666666667
1978.16666666667,6.3223153475762,4.6
1978.25,6.20611296721594,4.74
1978.33333333333,6.12192508556744,4.85
1978.41666666667,5.99520471813416,4.91
1978.5,6.02085766013103,4.88666666666667
1978.58333333333,5.99355005057709,4.90333333333333
1978.66666666667,6.01690826898462,4.94666666666667
1978.75,5.88627907347417,5.04
1978.83333333333,5.8652496243734,5.09
1978.91666666667,5.87892255745613,5.12666666666667
1979,5.91276102621264,5.09666666666667
1979.08333333333,5.92578819788804,5.04333333333333
1979.16666666667,5.87294773265481,4.99333333333333
1979.25,5.8579880365368,5.02333333333333
1979.33333333333,5.75768897114515,5.08333333333333
1979.41666666667,5.70899344637566,5.10333333333333
1979.5,5.67046868297185,5.04
1979.58333333333,5.80626292736205,5.01
1979.66666666667,5.8631825215225,5.04666666666667
1979.75,5.94522024949394,5.12666666666667
1979.83333333333,5.90582427218226,5.07666666666667
1979.91666666667,5.93477839298261,4.97333333333333
1980,6.03977364994747,4.80333333333333
1980.08333333333,6.16843270314654,4.70333333333333
1980.16666666667,6.29151927076104,4.60333333333333
1980.25,6.50203775567091,4.36666666666667
1980.33333333333,6.89713708766168,4.06
1980.41666666667,7.31782525520316,3.79
1980.5,7.61824825156038,3.7
1980.58333333333,7.70659106759359,3.72333333333333
1980.66666666667,7.67511941276105,3.78333333333333
1980.75,7.58381436631143,3.84333333333333
1980.83333333333,7.49277192189731,3.95666666666667
1980.91666666667,7.39278214320556,3.96333333333333
1981,7.37310674624002,3.93333333333333
1981.08333333333,7.36624848877263,3.86333333333333
1981.16666666667,7.42080092274411,3.84
1981.25,7.33843004617322,3.84666666666667
1981.33333333333,7.3537224359205,3.81666666666667
1981.41666666667,7.39294416353869,3.81
1981.5,7.39928725957951,3.79666666666667
1981.58333333333,7.36838197439587,3.79
1981.66666666667,7.41135763032202,3.70333333333333
1981.75,7.64039023305956,3.55666666666667
1981.83333333333,7.93187880042268,3.41666666666667
1981.91666666667,8.23488611002445,3.28666666666667
1982,8.46278726211991,3.22333333333333
1982.08333333333,8.66281907897566,3.12333333333333
1982.16666666667,8.83691894085582,3.04333333333333
1982.25,9.07489355604798,2.92666666666667
1982.33333333333,9.23869519786114,2.84
1982.41666666667,9.41934418668338,2.73666666666667
1982.5,9.58739983356037,2.63333333333333
1982.58333333333,9.75030680552805,2.51666666666667
1982.66666666667,9.93627969073996,2.40333333333333
1982.75,10.1290590509581,2.33333333333333
1982.83333333333,10.4304927747904,2.29
1982.91666666667,10.6697511829094,2.32
1983,10.6727929171572,2.36333333333333
1983.08333333333,10.5678584691146,2.40666666666667
1983.16666666667,10.3902635371447,2.44666666666667
1983.25,10.3060916381746,2.49
1983.33333333333,10.1833720451289,2.60666666666667
1983.41666666667,10.0953957761083,2.69
1983.5,9.85250031883535,2.81333333333333
1983.58333333333,9.65188325557756,2.87666666666667
1983.66666666667,9.35323810567096,2.96333333333333
1983.75,9.15160330142431,3.09333333333333
1983.83333333333,8.81784344321229,3.21
1983.91666666667,8.53484373737138,3.35333333333333
1984,8.26629758764103,3.42666666666667
1984.08333333333,8.04703853211577,3.55
1984.16666666667,7.86454996775839,3.63
1984.25,7.77101226224475,3.73
1984.33333333333,7.64908230024797,3.79
1984.41666666667,7.47170246521576,3.87666666666667
1984.5,7.38609340263194,3.93
1984.58333333333,7.40384603736005,3.93
1984.66666666667,7.44427951779736,3.93666666666667
1984.75,7.39764386788044,3.93
1984.83333333333,7.29324711818958,3.95
1984.91666666667,7.27515088685178,3.98666666666667
1985,7.27227597239196,3.98333333333333
1985.08333333333,7.29325671883332,4
1985.16666666667,7.27201608601428,4
1985.25,7.25106423392494,4
1985.33333333333,7.23806702945182,4.02666666666667
1985.41666666667,7.28076042097993,4.02
1985.5,7.31509985195166,4.03666666666667
1985.58333333333,7.28326546522169,4.03
1985.66666666667,7.20240258705876,4.04333333333333
1985.75,7.12321936632867,4.04333333333333
1985.83333333333,7.08648060318042,4.06333333333333
1985.91666666667,7.04581401227473,4.02333333333333
1986,6.89115832140359,4.00666666666667
1986.08333333333,6.95438999284593,3.95666666666667
1986.16666666667,7.00683566827395,3.93333333333333
1986.25,7.15647291851364,3.92
1986.33333333333,7.15379628991471,3.89
1986.41666666667,7.17163978939027,3.94666666666667
1986.5,7.14258609143991,3.94
1986.58333333333,7.04421898997639,3.97
1986.66666666667,6.98216465888365,3.93666666666667
1986.75,6.9531239370417,3.95666666666667
1986.83333333333,6.95050385456349,4.01666666666667
1986.91666666667,6.82624309871157,3.99333333333333
1987,6.72137750653507,3.95666666666667
1987.08333333333,6.62971742120373,3.94
1987.16666666667,6.61160787493838,4.05
1987.25,6.50473728574743,4.16666666666667
1987.33333333333,6.40766100013994,4.24
1987.41666666667,6.27152011356273,4.26
1987.5,6.18540227481399,4.29
1987.58333333333,6.09326730405802,4.35
1987.66666666667,6.00474962034917,4.40666666666667
1987.75,5.9832314446355,4.47333333333333
