Year,Minimum indicator (pp)
1960,0
1960.08333333333,0
1960.16666666667,0
1960.25,0.07
1960.33333333333,0.16
1960.41666666667,0.15
1960.5,0.25
1960.58333333333,0.37
1960.66666666667,0.44
1960.75,0.53
1960.83333333333,0.62
1960.91666666667,0.7
1961,0.76
1961.08333333333,0.81
1961.16666666667,0.81
1961.25,0.73
1961.33333333333,0.59
1961.41666666667,0.47
1961.5,0.34
1961.58333333333,0.22
1961.66666666667,0.06
1961.75,0
1961.83333333333,0
1961.91666666667,0
1962,0
1962.08333333333,0
1962.16666666667,0
1962.25,0
1962.33333333333,0
1962.41666666667,0
1962.5,0
1962.58333333333,0.06
1962.66666666667,0.1
1962.75,0.07
1962.83333333333,0.08
1962.91666666667,0.07
1963,0.19
1963.08333333333,0.17
1963.16666666667,0.15
1963.25,0.16
1963.33333333333,0.18
1963.41666666667,0.21
1963.5,0.2
1963.58333333333,0.02
1963.66666666667,0
1963.75,0
1963.83333333333,0.01
1963.91666666667,0
1964,0
1964.08333333333,0
1964.16666666667,0
1964.25,0
1964.33333333333,0
1964.41666666667,0
1964.5,0
1964.58333333333,0
1964.66666666667,0
1964.75,0.01
1964.83333333333,0
1964.91666666667,0
1965,0
1965.08333333333,0
1965.16666666667,0
1965.25,0
1965.33333333333,0
1965.41666666667,0
1965.5,0
1965.58333333333,0
1965.66666666667,0
1965.75,0
1965.83333333333,0
1965.91666666667,0
1966,0
1966.08333333333,0
1966.16666666667,0
1966.25,0
1966.33333333333,0
1966.41666666667,0.03
1966.5,0.02
1966.58333333333,0.02
1966.66666666667,0
1966.75,0
1966.83333333333,0
1966.91666666667,0.04
1967,0.11
1967.08333333333,0.17
1967.16666666667,0.17
1967.25,0.13
1967.33333333333,0.13
1967.41666666667,0.16
1967.5,0.17
1967.58333333333,0.17
1967.66666666667,0.14
1967.75,0.21
1967.83333333333,0.24
1967.91666666667,0.19
1968,0.06
1968.08333333333,0.01
1968.16666666667,0
1968.25,0
1968.33333333333,0
1968.41666666667,0
1968.5,0
1968.58333333333,0
1968.66666666667,0
1968.75,0
1968.83333333333,0
1968.91666666667,0
1969,0
1969.08333333333,0
1969.16666666667,0
1969.25,0
1969.33333333333,0
1969.41666666667,0.05
1969.5,0.09
1969.58333333333,0.13
1969.66666666667,0.22
1969.75,0.19
1969.83333333333,0.17
1969.91666666667,0.21
1970,0.26
1970.08333333333,0.49
1970.16666666667,0.78
1970.25,0.95
1970.33333333333,1.16
1970.41666666667,1.25
1970.5,1.32
1970.58333333333,1.38
1970.66666666667,1.45
1970.75,1.57
1970.83333333333,1.67
1970.91666666667,1.64
1971,1.51
1971.08333333333,1.37
1971.16666666667,1.2
1971.25,1.03
1971.33333333333,0.81
1971.41666666667,0.61
1971.5,0.42
1971.58333333333,0.3
1971.66666666667,0.26
1971.75,0.14
1971.83333333333,0.02
1971.91666666667,0
1972,0
1972.08333333333,0
1972.16666666667,0
1972.25,0
1972.33333333333,0
1972.41666666667,0
1972.5,0
1972.58333333333,0
1972.66666666667,0
1972.75,0
1972.83333333333,0
1972.91666666667,0
1973,0
1973.08333333333,0
1973.16666666667,0
1973.25,0.02
1973.33333333333,0
1973.41666666667,0
1973.5,0
1973.58333333333,0
1973.66666666667,0
1973.75,0
1973.83333333333,0.01
1973.91666666667,0.04
1974,0.21
1974.08333333333,0.32
1974.16666666667,0.36
1974.25,0.35
1974.33333333333,0.34
1974.41666666667,0.37
1974.5,0.5
1974.58333333333,0.61
