Year,Minimum indicator (pp)
1974.66666666667,0.73
1974.75,0.88
1974.83333333333,1.11
1974.91666666667,1.32
1975,1.47
1975.08333333333,1.55
1975.16666666667,1.66
1975.25,1.71
1975.33333333333,1.74
1975.41666666667,1.67
1975.5,1.47
1975.58333333333,1.27
1975.66666666667,1.1
1975.75,0.9
1975.83333333333,0.59
1975.91666666667,0.28
1976,0
1976.08333333333,0
1976.16666666667,0
1976.25,0
1976.33333333333,0
1976.41666666667,0
1976.5,0
1976.58333333333,0.01
1976.66666666667,0.04
1976.75,0.03
1976.83333333333,0.01
1976.91666666667,0
1977,0
1977.08333333333,0
1977.16666666667,0
1977.25,0
1977.33333333333,0
1977.41666666667,0
1977.5,0
1977.58333333333,0
1977.66666666667,0
1977.75,0
1977.83333333333,0
1977.91666666667,0
1978,0
1978.08333333333,0
1978.16666666667,0
1978.25,0
1978.33333333333,0
1978.41666666667,0
1978.5,0.02
1978.58333333333,0
1978.66666666667,0
1978.75,0
1978.83333333333,0
1978.91666666667,0
1979,0.03
1979.08333333333,0.06
1979.16666666667,0.01
1979.25,0
1979.33333333333,0
1979.41666666667,0
1979.5,0
1979.58333333333,0.12
1979.66666666667,0.08
1979.75,0
1979.83333333333,0.05
1979.91666666667,0.15
1980,0.32
1980.08333333333,0.42
1980.16666666667,0.52
1980.25,0.76
1980.33333333333,1.07
1980.41666666667,1.34
1980.5,1.43
1980.58333333333,1.4
1980.66666666667,1.34
1980.75,1.28
1980.83333333333,1.12
1980.91666666667,1.01
1981,0.87
1981.08333333333,0.84
1981.16666666667,0.76
1981.25,0.52
1981.33333333333,0.24
1981.41666666667,0.08
1981.5,0.06
1981.58333333333,0.03
1981.66666666667,0.07
1981.75,0.3
1981.83333333333,0.55
1981.91666666667,0.68
1982,0.71
1982.08333333333,0.74
1982.16666666667,0.8
1982.25,0.92
1982.33333333333,0.98
1982.41666666667,1.07
1982.5,1.16
1982.58333333333,1.27
1982.66666666667,1.3
1982.75,1.22
1982.83333333333,1.13
1982.91666666667,0.97
1983,0.86
1983.08333333333,0.72
1983.16666666667,0.6
1983.25,0.44
1983.33333333333,0.23
1983.41666666667,0.05
1983.5,0
1983.58333333333,0
1983.66666666667,0
1983.75,0
1983.83333333333,0
1983.91666666667,0
1984,0
1984.08333333333,0
1984.16666666667,0
1984.25,0
1984.33333333333,0
1984.41666666667,0
1984.5,0
1984.58333333333,0
1984.66666666667,0
1984.75,0.01
1984.83333333333,0
1984.91666666667,0
1985,0
1985.08333333333,0
1985.16666666667,0
1985.25,0
1985.33333333333,0
1985.41666666667,0.01
1985.5,0
1985.58333333333,0.01
1985.66666666667,0
1985.75,0
1985.83333333333,0
1985.91666666667,0
1986,0
1986.08333333333,0.06
1986.16666666667,0.12
1986.25,0.14
1986.33333333333,0.17
1986.41666666667,0.12
1986.5,0.12
1986.58333333333,0.09
1986.66666666667,0.09
1986.75,0.06
1986.83333333333,0.05
1986.91666666667,0
1987,0
1987.08333333333,0
1987.16666666667,0
1987.25,0
1987.33333333333,0
1987.41666666667,0
1987.5,0
1987.58333333333,0
1987.66666666667,0
1987.75,0
1987.83333333333,0
1987.91666666667,0
1988,0
1988.08333333333,0
1988.16666666667,0
1988.25,0
1988.33333333333,0
1988.41666666667,0
1988.5,0
1988.58333333333,0
1988.66666666667,0.01
1988.75,0
1988.83333333333,0
1988.91666666667,0
1989,0.01
1989.08333333333,0
1989.16666666667,0
1989.25,0
1989.33333333333,0
1989.41666666667,0.09
1989.5,0.09
1989.58333333333,0.12
1989.66666666667,0.12
1989.75,0.16
1989.83333333333,0.21
1989.91666666667,0.22
1990,0.23
1990.08333333333,0.19
1990.16666666667,0.16
1990.25,0.17
1990.33333333333,0.19
1990.41666666667,0.1
1990.5,0.13
1990.58333333333,0.22
1990.66666666667,0.42
1990.75,0.53
1990.83333333333,0.68
1990.91666666667,0.81
1991,0.96
1991.08333333333,1.09
1991.16666666667,1.2
1991.25,1.18
1991.33333333333,1.15
1991.41666666667,1.08
1991.5,1.06
1991.58333333333,1.02
1991.66666666667,0.97
1991.75,0.86
1991.83333333333,0.71
1991.91666666667,0.6
1992,0.48
1992.08333333333,0.39
1992.16666666667,0.25
1992.25,0.15
1992.33333333333,0.1
1992.41666666667,0.12
1992.5,0.1
1992.58333333333,0.07
1992.66666666667,0.05
1992.75,0.01
1992.83333333333,0
1992.91666666667,0
1993,0
1993.08333333333,0
1993.16666666667,0
1993.25,0
1993.33333333333,0
1993.41666666667,0
1993.5,0
1993.58333333333,0
1993.66666666667,0
1993.75,0
1993.83333333333,0
1993.91666666667,0
1994,0
1994.08333333333,0
1994.16666666667,0
1994.25,0
1994.33333333333,0
1994.41666666667,0
1994.5,0
1994.58333333333,0
1994.66666666667,0
1994.75,0
1994.83333333333,0
1994.91666666667,0
1995,0
1995.08333333333,0
1995.16666666667,0
1995.25,0.06
1995.33333333333,0.13
1995.41666666667,0.2
1995.5,0.17
1995.58333333333,0.17
1995.66666666667,0.13
1995.75,0.12
1995.83333333333,0.11
1995.91666666667,0.07
1996,0.06
1996.08333333333,0.05
1996.16666666667,0.07
1996.25,0
1996.33333333333,0.02
1996.41666666667,0
1996.5,0
1996.58333333333,0
1996.66666666667,0
1996.75,0
1996.83333333333,0
1996.91666666667,0
1997,0
1997.08333333333,0
1997.16666666667,0
1997.25,0
1997.33333333333,0
1997.41666666667,0
1997.5,0
1997.58333333333,0
1997.66666666667,0
1997.75,0
1997.83333333333,0
1997.91666666667,0
1998,0
1998.08333333333,0
1998.16666666667,0
1998.25,0
1998.33333333333,0
1998.41666666667,0
1998.5,0.03
1998.58333333333,0.03
1998.66666666667,0.07
1998.75,0.11
1998.83333333333,0.08
1998.91666666667,0.02
1999,0
1999.08333333333,0
1999.16666666667,0
1999.25,0.01
1999.33333333333,0
1999.41666666667,0.03
1999.5,0.03
1999.58333333333,0.04
1999.66666666667,0.03
1999.75,0
1999.83333333333,0
1999.91666666667,0
2000,0
2000.08333333333,0
2000.16666666667,0
2000.25,0
2000.33333333333,0
2000.41666666667,0
2000.5,0.07
2000.58333333333,0.09
2000.66666666667,0.08
2000.75,0.03
2000.83333333333,0
2000.91666666667,0
2001,0.1
2001.08333333333,0.2
2001.16666666667,0.31
2001.25,0.37
2001.33333333333,0.41
2001.41666666667,0.49
2001.5,0.56
2001.58333333333,0.65
2001.66666666667,0.74
2001.75,0.77
2001.83333333333,0.93
2001.91666666667,0.93
2002,1
2002.08333333333,1
2002.16666666667,1.08
2002.25,1.02
2002.33333333333,0.94
2002.41666666667,0.78
2002.5,0.73
2002.58333333333,0.72
2002.66666666667,0.61
2002.75,0.57
2002.83333333333,0.37
2002.91666666667,0.31
2003,0.24
2003.08333333333,0.2
2003.16666666667,0.17
2003.25,0.23
2003.33333333333,0.28
2003.41666666667,0.27
2003.5,0.16
2003.58333333333,0.17
2003.66666666667,0.19
2003.75,0.26
2003.83333333333,0.19
2003.91666666667,0
2004,0
2004.08333333333,0
2004.16666666667,0
2004.25,0
2004.33333333333,0
2004.41666666667,0
2004.5,0
2004.58333333333,0
2004.66666666667,0
2004.75,0
2004.83333333333,0
2004.91666666667,0
2005,0
2005.08333333333,0.01
2005.16666666667,0
2005.25,0
2005.33333333333,0
2005.41666666667,0
2005.5,0
2005.58333333333,0
2005.66666666667,0
2005.75,0
2005.83333333333,0.02
2005.91666666667,0
2006,0
2006.08333333333,0
2006.16666666667,0
2006.25,0
2006.33333333333,0
2006.41666666667,0
2006.5,0.01
2006.58333333333,0.02
2006.66666666667,0
2006.75,0
2006.83333333333,0
2006.91666666667,0
2007,0.06
2007.08333333333,0.03
2007.16666666667,0.02
2007.25,0
2007.33333333333,0
2007.41666666667,0.02
2007.5,0.05
2007.58333333333,0.07
2007.66666666667,0.1
2007.75,0.14
2007.83333333333,0.14
2007.91666666667,0.12
2008,0.15
2008.08333333333,0.15
2008.16666666667,0.23
2008.25,0.3
2008.33333333333,0.42
2008.41666666667,0.43
2008.5,0.49
2008.58333333333,0.54
2008.66666666667,0.62
2008.75,0.73
2008.83333333333,0.81
2008.91666666667,0.91
2009,0.89
2009.08333333333,1.03
2009.16666666667,1.02
2009.25,1.09
2009.33333333333,1.05
2009.41666666667,1.1
2009.5,1.02
2009.58333333333,0.97
2009.66666666667,0.9
2009.75,0.77
2009.83333333333,0.65
2009.91666666667,0.51
2010,0.48
2010.08333333333,0.25
2010.16666666667,0.14
2010.25,0
2010.33333333333,0
2010.41666666667,0
2010.5,0
2010.58333333333,0
2010.66666666667,0.01
2010.75,0
2010.83333333333,0
2010.91666666667,0
2011,0
2011.08333333333,0
2011.16666666667,0
2011.25,0
2011.33333333333,0
2011.41666666667,0.01
2011.5,0
2011.58333333333,0
2011.66666666667,0
2011.75,0
2011.83333333333,0
2011.91666666667,0
2012,0
2012.08333333333,0
2012.16666666667,0
2012.25,0
2012.33333333333,0
2012.41666666667,0
2012.5,0
2012.58333333333,0
2012.66666666667,0
2012.75,0
2012.83333333333,0
2012.91666666667,0.03
2013,0.01
2013.08333333333,0
2013.16666666667,0
2013.25,0
2013.33333333333,0
2013.41666666667,0
2013.5,0
2013.58333333333,0
2013.66666666667,0
2013.75,0
2013.83333333333,0
2013.91666666667,0
2014,0
2014.08333333333,0
2014.16666666667,0
2014.25,0
2014.33333333333,0
2014.41666666667,0
2014.5,0
2014.58333333333,0
2014.66666666667,0
2014.75,0
2014.83333333333,0
2014.91666666667,0
2015,0
2015.08333333333,0
2015.16666666667,0
2015.25,0
2015.33333333333,0
2015.41666666667,0
2015.5,0
2015.58333333333,0
2015.66666666667,0
2015.75,0
2015.83333333333,0
2015.91666666667,0
2016,0
2016.08333333333,0
2016.16666666667,0
2016.25,0
2016.33333333333,0.05
2016.41666666667,0.03
2016.5,0
2016.58333333333,0.02
2016.66666666667,0.06
2016.75,0.09
2016.83333333333,0.04
2016.91666666667,0
2017,0
2017.08333333333,0
2017.16666666667,0
2017.25,0
2017.33333333333,0
2017.41666666667,0
2017.5,0
2017.58333333333,0
2017.66666666667,0
2017.75,0
2017.83333333333,0
2017.91666666667,0
2018,0
2018.08333333333,0
2018.16666666667,0
2018.25,0
2018.33333333333,0
2018.41666666667,0
2018.5,0
2018.58333333333,0
2018.66666666667,0
2018.75,0
2018.83333333333,0
2018.91666666667,0
2019,0
2019.08333333333,0
2019.16666666667,0.07
2019.25,0
2019.33333333333,0
2019.41666666667,0
2019.5,0.01
2019.58333333333,0.01
2019.66666666667,0
2019.75,0
2019.83333333333,0
2019.91666666667,0.02
2020,0.02
2020.08333333333,0
2020.16666666667,0.28
2020.25,0.35
2020.33333333333,0.82
2020.41666666667,1.08
2020.5,1.03
2020.58333333333,0.59
2020.66666666667,0.41
2020.75,0.34
2020.83333333333,0.28
2020.91666666667,0.14
2021,0
2021.08333333333,0
2021.16666666667,0
2021.25,0
2021.33333333333,0
2021.41666666667,0
2021.5,0
2021.58333333333,0
2021.66666666667,0
2021.75,0
2021.83333333333,0
2021.91666666667,0
2022,0
2022.08333333333,0
2022.16666666667,0
2022.25,0
2022.33333333333,0
2022.41666666667,0
2022.5,0
2022.58333333333,0
2022.66666666667,0
2022.75,0.04
2022.83333333333,0.04
2022.91666666667,0.03
2023,0
2023.08333333333,0
2023.16666666667,0
2023.25,0
2023.33333333333,0.02
2023.41666666667,0.04
2023.5,0.07
2023.58333333333,0.11
2023.66666666667,0.17
2023.75,0.28
2023.83333333333,0.27
2023.91666666667,0.27
2024,0.21
2024.08333333333,0.26
2024.16666666667,0.29
2024.25,0.35
2024.33333333333,0.36
2024.41666666667,0.41
2024.5,0.5
2024.58333333333,0.54
2024.66666666667,0.48
2024.75,0.42
2024.83333333333,0.43
2024.91666666667,0.43
